week_start,hrc_usd_t,rebar_usd_t,iron_ore_usd_t,coking_coal_usd_t,scrap_usd_t,crude_steel_output_mt,apparent_demand_mt,exports_mt,bf_bof_cost_usd_t,eaf_cost_usd_t,blended_cost_usd_t,hrc_margin_usd_t,is_synthetic
2024-08-12,537.36,497.24,100.72,185.29,340.07,18.652,17.805,2.306,311.79,331.25,314.13,189.23,True
2024-08-19,529.04,500.76,93.28,191.98,340.48,18.494,18.229,2.305,303.24,331.57,306.64,188.4,True
2024-08-26,542.18,501.28,88.35,196.1,339.09,18.798,18.033,2.369,297.41,330.49,301.38,206.81,True
2024-09-02,507.64,492.92,86.69,188.47,338.47,18.858,17.845,2.393,290.94,330.0,295.63,178.01,True
2024-09-09,534.34,496.17,88.75,191.22,337.81,18.199,17.6,2.391,295.61,329.49,299.67,200.67,True
2024-09-16,523.36,474.12,97.41,205.91,335.23,18.555,17.704,2.323,316.82,327.48,318.1,171.26,True
2024-09-23,528.25,484.31,96.8,204.75,338.18,18.322,17.836,2.357,315.25,329.78,317.0,177.25,True
2024-09-30,536.67,476.28,97.36,211.81,339.43,18.496,17.975,2.399,319.67,330.75,321.0,181.66,True
2024-10-07,526.35,470.36,94.48,205.11,324.78,18.499,17.809,2.398,311.72,319.33,312.64,179.72,True
2024-10-14,513.24,498.8,92.83,203.55,334.05,18.778,17.762,2.497,308.3,326.56,310.49,168.75,True
2024-10-21,532.92,476.57,93.86,222.21,342.04,18.431,17.77,2.44,319.28,332.79,320.9,178.02,True
2024-10-28,518.48,479.24,91.89,219.71,341.32,18.588,17.793,2.37,314.87,332.23,316.95,167.52,True
2024-11-04,519.92,469.51,95.71,228.83,336.36,18.616,17.999,2.416,325.55,328.36,325.89,160.03,True
2024-11-11,528.32,478.23,90.88,236.15,335.86,18.86,17.716,2.456,321.48,327.97,322.26,172.06,True
2024-11-18,524.83,496.69,95.9,246.12,350.22,18.631,17.653,2.529,334.5,339.17,335.06,155.77,True
2024-11-25,515.25,497.52,97.37,227.81,351.03,18.69,18.116,2.627,327.7,339.8,329.16,152.1,True
2024-12-02,517.38,477.7,95.11,245.43,339.92,18.855,17.98,2.683,332.89,331.13,332.68,150.7,True
2024-12-09,520.84,479.93,104.93,250.78,352.15,18.572,17.789,2.635,351.28,340.67,350.01,136.83,True
2024-12-16,527.8,500.64,101.48,253.27,354.64,18.916,18.409,2.546,346.99,342.62,346.47,147.33,True
2024-12-23,553.11,491.99,102.33,239.08,351.41,19.286,18.406,2.616,341.26,340.1,341.12,177.98,True
2024-12-30,535.65,496.0,101.71,248.14,362.29,19.139,18.208,2.672,344.81,348.59,345.26,156.39,True
2025-01-06,540.73,508.94,105.35,268.4,355.41,19.455,17.815,2.712,360.76,343.22,358.65,148.07,True
2025-01-13,554.04,494.03,109.51,249.96,358.49,19.516,18.791,2.799,358.19,345.62,356.68,163.36,True
2025-01-20,546.38,499.41,109.73,267.67,366.89,19.611,18.153,2.704,367.41,352.18,365.58,146.8,True
2025-01-27,568.27,503.04,102.17,260.41,368.92,19.596,18.315,2.772,351.68,353.76,351.93,182.34,True
2025-02-03,566.5,512.47,112.11,269.2,359.43,19.954,18.917,2.865,371.98,346.35,368.9,163.6,True
2025-02-10,558.59,501.28,109.95,252.29,370.23,19.719,18.625,2.865,360.06,354.78,359.43,165.16,True
2025-02-17,546.0,515.51,110.96,250.07,365.19,19.798,19.187,2.83,360.58,350.85,359.41,152.59,True
2025-02-24,560.02,513.12,107.24,256.71,372.04,20.162,18.64,2.931,357.93,356.19,357.73,168.3,True
2025-03-03,559.63,518.85,114.55,246.2,382.96,20.007,19.01,2.811,364.38,364.71,364.42,161.22,True
2025-03-10,560.33,512.9,114.58,250.97,371.21,20.151,18.896,2.925,366.81,355.54,365.45,160.88,True
2025-03-17,555.19,517.58,115.27,246.76,374.99,20.212,19.008,2.917,365.81,358.49,364.94,156.26,True
2025-03-24,559.18,528.74,118.24,239.73,376.71,20.193,18.401,2.95,367.05,359.83,366.18,159.0,True
2025-03-31,574.01,520.7,116.94,245.05,377.83,20.16,18.637,3.006,367.62,360.71,366.79,173.21,True
2025-04-07,564.52,530.49,112.6,241.48,375.89,19.729,18.678,2.933,358.9,359.2,358.94,171.58,True
2025-04-14,561.04,523.28,110.39,234.47,373.28,19.524,19.001,3.028,351.86,357.16,352.5,174.54,True
2025-04-21,558.86,526.39,112.14,223.72,362.37,19.796,19.063,3.041,349.28,348.65,349.2,175.66,True
2025-04-28,563.0,522.7,112.15,234.04,366.41,20.09,18.837,2.916,354.46,351.8,354.14,174.86,True
2025-05-05,563.16,525.85,110.08,219.91,375.01,20.084,19.006,3.017,344.09,358.51,345.82,183.35,True
2025-05-12,537.57,531.59,115.55,216.64,375.16,19.789,18.514,2.999,351.21,358.63,352.1,151.48,True
2025-05-19,554.7,543.05,109.0,222.47,363.56,19.885,18.758,3.067,343.64,349.57,344.35,176.35,True
2025-05-26,558.94,521.15,110.2,208.86,365.67,19.777,18.738,3.026,338.75,351.23,340.25,184.69,True
2025-06-02,540.22,520.36,104.11,215.95,363.87,19.336,19.161,2.938,332.55,349.82,334.63,171.59,True
2025-06-09,546.03,512.31,105.18,199.08,356.95,19.429,18.175,2.965,325.82,344.42,328.05,183.97,True
2025-06-16,540.15,521.73,101.73,196.26,362.61,19.239,18.419,2.982,318.89,348.83,322.48,183.67,True
2025-06-23,529.38,499.56,100.54,195.55,355.5,18.926,18.481,3.016,316.64,343.29,319.84,175.55,True
2025-06-30,535.83,498.24,105.41,186.11,349.56,18.984,17.921,3.082,319.71,338.65,321.99,179.84,True
2025-07-07,539.4,504.53,99.81,188.25,357.97,18.962,17.947,2.954,311.83,345.21,315.83,189.57,True
2025-07-14,525.57,504.16,99.2,179.05,353.75,18.566,17.839,2.939,306.24,341.92,310.53,181.05,True
2025-07-21,533.58,505.32,94.79,182.81,345.34,18.84,17.624,2.971,301.06,335.37,305.18,194.4,True
2025-07-28,536.35,499.19,93.38,195.45,342.37,18.719,17.602,2.96,305.14,333.05,308.49,193.86,True
2025-08-04,519.93,488.74,96.63,174.96,339.12,18.261,17.101,3.001,300.09,330.51,303.74,182.19,True
2025-08-11,528.96,491.44,97.98,172.25,344.54,18.707,17.836,3.003,300.9,334.74,304.96,190.0,True
2025-08-18,517.49,481.31,89.95,185.29,340.44,18.185,17.237,3.044,294.57,331.54,299.01,184.49,True
2025-08-25,522.97,478.89,91.05,183.39,320.91,18.734,17.292,2.984,295.37,316.31,297.88,191.09,True
2025-09-01,510.69,484.21,88.51,182.29,338.29,18.458,17.518,2.987,290.76,329.87,295.45,181.24,True
2025-09-08,521.22,481.53,87.18,181.7,331.63,17.567,17.106,3.009,288.34,324.67,292.7,194.52,True
2025-09-15,511.9,482.46,87.15,191.58,332.59,18.49,16.799,3.047,293.23,325.42,297.09,180.81,True
2025-09-22,502.98,471.4,85.22,195.81,319.6,18.015,17.17,3.089,292.25,315.29,295.02,173.96,True
2025-09-29,512.89,460.23,87.12,190.86,324.26,17.886,17.077,2.999,292.82,318.93,295.96,182.93,True
2025-10-06,529.11,465.55,82.85,207.63,340.57,17.422,17.171,2.988,294.38,331.65,298.85,196.26,True
2025-10-13,514.29,455.8,81.88,209.69,332.68,17.831,17.219,3.03,293.86,325.49,297.65,182.64,True
2025-10-20,508.01,464.88,85.62,196.94,344.63,18.376,16.819,3.155,293.47,334.81,298.43,175.59,True
2025-10-27,512.27,472.59,85.52,223.09,334.0,18.343,17.583,3.131,306.37,326.52,308.79,169.48,True
2025-11-03,520.33,462.45,89.91,213.2,343.83,18.192,17.117,3.021,308.45,334.19,311.53,174.8,True
2025-11-10,516.24,450.31,85.1,234.44,340.22,18.034,17.115,3.104,311.39,331.37,313.79,168.45,True
2025-11-17,519.27,440.35,87.44,229.42,333.6,17.939,17.254,3.127,312.62,326.2,314.25,171.03,True
2025-11-24,523.0,463.7,93.17,235.64,339.93,18.653,17.602,3.054,324.9,331.14,325.65,163.36,True
2025-12-01,518.97,471.35,92.89,236.39,343.21,18.852,17.267,3.149,324.83,333.7,325.89,159.08,True
2025-12-08,529.63,473.91,89.53,232.74,332.22,18.866,17.534,3.205,317.61,325.13,318.52,177.11,True
2025-12-15,528.75,484.29,89.02,229.24,339.0,18.384,17.722,3.221,315.05,330.42,316.89,177.86,True
2025-12-22,532.79,475.74,95.23,242.26,351.57,18.811,17.83,3.234,331.49,340.22,332.54,166.25,True
